Fecha,CaudalCuencaPaute,CaudalMol,CotaMol,CaudalMaz,CotaMaz,CaudalSop,CotaSop,CaudalMsf,CotaMsf
"28/02/2025 00:00:00",127.29525416666667,108.19649879166667,1990.7781982,105.32765094583333,2153.56,110.85775189583333,1314.2059326,230.63543935416666,792.57
"27/02/2025 00:00:00",119.9117625,124.51458604166666,1990.9501953,98.77662952833333,2153.32,115.207185375,1313.9389648,169.17463911666667,792.54
"26/02/2025 00:00:00",129.11925416666668,113.35478454166666,1990.5316162,103.0856983775,2153.42,115.70640076666666,1314.421875,204.69950039583333,792.51
"25/02/2025 00:00:00",115.0193875,123.478175125,1990.588623,87.78613245916667,2153.29,121.733518425,1313.9743652,207.2493421375,792.44
"24/02/2025 00:00:00",124.07595416666666,170.84207145833332,1990.592,93.28865701583334,2153.32,117.05018569583333,1315.1433105,149.34130555833335,792.55
"23/02/2025 00:00:00",139.03175833333333,138.6725035,1990.5921631,110.34998779625,2153.74,90.0509094875,1314.1881104,142.00487407916665,792.55
"22/02/2025 00:00:00",153.54477083333333,158.57925741666668,1990.861,120.73290813083334,2153.75,106.26441349166667,1315.4576416,153.96251759166665,792.13
"21/02/2025 00:00:00",190.01669583333333,213.09475733333332,1990.9580078,153.90666860791666,2153.71,111.2289872125,1315.2680664,211.69711179583334,792.37
"20/02/2025 00:00:00",236.49410833333334,258.2285200833333,1990.8808594,189.91553938666667,2153.99,98.41269384166667,1315.0819092,286.76570492083334,792.25
"19/02/2025 00:00:00",292.17647916666664,314.7183522916667,1990.6843262,239.793798015,2154.19,91.4676554875,1313.9931641,359.9165404958333,792.53
"18/02/2025 00:00:00",370.13929583333334,327.6347010833333,1990.9431152,295.3151836225,2154.44,103.75011147083333,1314.5992432,451.53805154583335,792.36
"17/02/2025 00:00:00",215.23179166666668,214.54466108333332,1990.9510498,174.65192942541665,2154.05,83.35254263333333,1315.1173096,249.48780748333334,792.5
"16/02/2025 00:00:00",215.2003375,205.80848579166667,1990.9571533,185.40944661333333,2154.02,94.62856039166667,1314.9483643,176.85276581666668,792.57
"15/02/2025 00:00:00",188.74876666666665,138.72999933333332,1990.4237061,174.60082022208334,2153.97,123.487468025,1313.9477539,208.40307946666667,792.47
"14/02/2025 00:00:00",250.666675,205.400517625,1989.9675293,205.90441613416667,2153.46,125.06081283333333,1316.5639648,273.0745829,792.49
"13/02/2025 00:00:00",169.71256666666667,166.58779733333333,1987.4545898,127.29622932333334,2153.07,138.71667771666668,1315.7685547,287.7824635,792.34
"12/02/2025 00:00:00",170.13603333333333,165.69869829166666,1986.6473389,125.70666905208333,2152.99,139.45436618333332,1314.6450195,261.6247030541667,792.61
"11/02/2025 00:00:00",113.23140833333333,113.63942929166667,1985.9454346,80.66443782375,2153,107.2736939625,1315.1520996,221.00224707083333,792.78
"10/02/2025 00:00:00",72.13945833333334,43.27507175,1985.6470947,57.00844621125,2152.974,89.6078831375,1315.5018311,79.05259614583333,791.95
"09/02/2025 00:00:00",86.40564583333334,23.963434291666665,1986.9246826,64.37122789333333,2152.742,44.404350625,1315.0643311,62.09499429583333,792.78
"08/02/2025 00:00:00",72.20305,27.403502375,1986.7325439,44.299074420833335,2152.041,32.135509266666666,1314.9483643,38.9345741625,790.02
"07/02/2025 00:00:00",63.431241666666665,54.928256708333336,1986.475,39.539309637083335,2151.575,57.329951646666665,1314.5004883,47.242181783333336,789.82
"06/02/2025 00:00:00",54.38455416666667,34.65654020833333,1986.0367432,35.294052986666664,2151.43,57.5617470375,1315.4664307,39.814234345833334,789.65
"05/02/2025 00:00:00",63.5085,63.998375625,1986.1990967,40.50794946,2151.25,66.83325085217392,1315.1433105,46.1416166625,790.27
"04/02/2025 00:00:00",53.278279166666664,16.251576875,1986.2858887,37.918118980416665,2151.27,69.58380698333333,1315.5998535,40.8540109625,788.7
"03/02/2025 00:00:00",54.17545,55.428076,1988.0029297,31.3222021925,2150.86,65.80786041111111,1315.3046875,22.91900825,787.65
"02/02/2025 00:00:00",66.9341375,24.78935583333333,1987.8363037,41.42795258291667,2150.87,43.42284657857143,1315.4755859,26.336014583333334,785.99
"01/02/2025 00:00:00",78.67945416666667,30.916302458333334,1987.9073486,47.144525155,2150.44,35.72120987647059,1314.9663086,29.513901383333334,786.41
