Fecha,CaudalCuencaPaute,CaudalMaz,CotaMaz,CaudalSop,CotaSop,CaudalMsf,CotaMsf
"28/02/2022 00:00:00",92.6741125,71.67237000083334,2126.96,38.2229086625,1315.5946045,74.41145695,792.45
"27/02/2022 00:00:00",102.58705,78.9483851775,2126.87,39.046084370833334,1315.7841797,109.82717879166667,792.36
"26/02/2022 00:00:00",79.47625833333333,65.55152825458333,2126.54,39.600842508333336,1315.1032715,132.51904267083333,792.43
"25/02/2022 00:00:00",65.97175833333333,51.21579221458333,2125.73,63.095776279166664,1315.8109131,86.03093110833333,792.49
"24/02/2022 00:00:00",52.828975,40.99296988375,2125.52,69.66504225,1315.6506348,74.09574752083333,790.67
"23/02/2022 00:00:00",34.983779166666665,21.7166765825,2125.58,82.88742947916667,1316.0145264,48.87832591666667,786.3
"22/02/2022 00:00:00",35.035495833333336,18.488037725833333,2126.04,127.78531529583333,1315.2836914,35.31218740833334,785.15
"21/02/2022 00:00:00",37.69475833333333,23.0088749225,2127.08,98.32075795416667,1315.505249,37.00677855833333,787.75
"20/02/2022 00:00:00",41.2339125,26.456383317083333,2127.78,72.74498275833334,1315.505249,43.820662125,788.99
"19/02/2022 00:00:00",46.10035833333333,29.528899875833332,2128.42,76.36362698333333,1315.6949463,56.963531008333334,789.59
"18/02/2022 00:00:00",48.9011375,33.31937540875,2129.18,98.00814477916667,1316.2216797,54.752050925,790.01
"17/02/2022 00:00:00",45.5890375,30.02857091,2129.82,96.65965983333334,1316.164917,53.2605965375,789.48
"16/02/2022 00:00:00",51.52506666666667,35.33146915,2130.64,96.22885667916667,1315.9703369,60.43023627083333,791.63
"15/02/2022 00:00:00",67.2636875,50.76332345666667,2131.31,89.70038855833333,1314.9605713,70.86335647916667,792.31
"14/02/2022 00:00:00",68.55989583333333,51.04443144333333,2131.52,84.34103045833334,1315.8197021,100.604373225,792.56
"13/02/2022 00:00:00",88.8484625,70.30723557125,2131.94,44.6640241625,1315.2467041,110.21180616666666,792.48
"12/02/2022 00:00:00",75.71654166666667,62.41860552375,2131.74,61.2187810125,1315.9523926,110.53497399166666,792.56
"11/02/2022 00:00:00",42.676175,32.42051863458333,2131.58,94.8143297625,1315.237915,62.34216766666667,790.35
"10/02/2022 00:00:00",45.752291666666665,26.20527502375,2132.09,81.47064572916666,1315.9069824,41.8957547125,787.09
"09/02/2022 00:00:00",56.0789,35.67735060208334,2132.94,62.5679147625,1315.4522705,42.68879777083333,788.55
"08/02/2022 00:00:00",51.57822083333333,31.613100185416666,2133.37,59.86726190416667,1314.6763916,43.51649160416667,790.53
"07/02/2022 00:00:00",48.00635416666667,29.47253586375,2133.76,62.193963075,1315.7471924,49.78580408333333,790.16
"06/02/2022 00:00:00",56.0207,36.21446089625,2134.11,44.95592061666667,1315.9882812,37.63351405,790.09
"05/02/2022 00:00:00",41.059866666666665,28.299170625833334,2134.18,91.03309596666666,1315.4522705,36.463911429166664,789.69
"04/02/2022 00:00:00",33.612575,25.47528086375,2134.7,119.47677592083333,1315.9177246,32.83024869166667,788.25
"03/02/2022 00:00:00",39.005941666666665,22.339357237083334,2135.32,88.10589756666667,1315.7384033,38.53747491666667,790.28
"02/02/2022 00:00:00",44.58804166666667,28.062371859583333,2135.75,75.6730953875,1315.6594238,53.145661958333335,792.01
"01/02/2022 00:00:00",49.89864166666667,31.373083319166668,2136.12,61.0429010375,1315.5682373,60.012067279166665,792.22
