Fecha,CaudalCuencaPaute,CaudalMol,CotaMol,CaudalMaz,CotaMaz,CaudalSop,CotaSop,CaudalMsf,CotaMsf
"31/10/2025 01:00:00",126.65110434782609,137.5545219130435,0,104.44818941521739,2153.82,134.65274390869564,0,27.935246369565217,0
"30/10/2025 01:00:00",167.9842875,157.34795579166666,1989.8648682,144.77418608541666,2153.82,133.51487588333333,1315.4576416,52.32176805,792.03
"29/10/2025 01:00:00",199.66880416666666,114.06299545833333,1989.1462402,150.88218443083332,2153.81,113.62199447916667,1315.3312988,28.208578783333333,792.07
"28/10/2025 01:00:00",154.9821375,124.18496808333333,1989.0699463,91.57252651916667,2152.89,95.0032639125,1316.3125,29.009224620833333,789.98
"27/10/2025 01:00:00",95.36354166666666,55.85994804166667,1988.0871582,62.295053286666665,2152.62,53.106433304166664,1314.8571777,24.371799925,789.15
"26/10/2025 01:00:00",73.01545,65.47372741666666,1988.0056152,42.556701428333334,2152.22,61.7399242125,1315.1085205,16.359767591666667,788.49
"25/10/2025 01:00:00",76.32114166666666,72.39025095833334,1987.9046631,46.992616813333335,2152.13,81.1334567625,1314.2952881,18.247812575,789.16
"24/10/2025 01:00:00",87.88227083333334,89.84766133333333,1988.2547607,52.78059699833333,2152.04,85.09032444166667,1314.4302979,23.281771595833334,789.55
"23/10/2025 01:00:00",79.60505416666666,105.8685495,1988.0169678,47.46115681375,2152.12,108.00342772083333,1313.5811768,18.139941904166665,789.6
"22/10/2025 01:00:00",72.34894583333333,78.60381120833334,1988.1740723,40.47242950541666,2152.32,97.42709618333333,1315.1715088,18.131474916666665,789.63
"21/10/2025 01:00:00",74.3595375,80.62129875,1988.782,44.07622839458333,2152.38,99.911958325,1316.5830078,20.364766820833335,790.11
"20/10/2025 01:00:00",89.0872625,97.33605054166667,1989.3463135,51.448069645416666,2152.45,91.98788472083334,1314.723999,36.0435048625,790.56
"19/10/2025 01:00:00",99.01872083333333,78.25331175,1989.1638184,59.83860960625,2152.55,79.586542025,1314.8311768,33.866661883333336,789.99
"18/10/2025 01:00:00",94.4207875,104.29993204166666,1989.2655029,54.94658394375,2152.31,112.29689743333333,1314.3654785,25.55152485,790.76
"17/10/2025 01:00:00",113.621925,138.06139691666667,1989.4542236,71.30560592583333,2152.46,145.29630736666667,1315.7947998,24.016483033333333,789.57
"16/10/2025 01:00:00",88.14841666666666,112.024960875,1989.680542,55.432562275416664,2152.69,131.52953625833334,1314.9571533,23.063011658333334,790.39
"15/10/2025 01:00:00",94.64677083333333,128.63461383333333,1990.3193359,60.617549097916665,2152.89,127.0687875,1315.2504883,27.43888735,791.7
"14/10/2025 01:00:00",114.96526666666666,120.64874045833334,1990.2491455,87.41168124625,2153.26,132.79496409166666,1316.2252197,30.415375704166667,791.07
"13/10/2025 01:00:00",120.902725,144.01427304166666,1990.5957031,87.2688956625,2153.32,135.15835622083333,1316.8496094,33.798742116666666,791.6
"12/10/2025 01:00:00",110.13084583333334,84.33185041666667,1990.3262939,88.12341817125,2153.57,80.35187771666666,1316.1984863,32.19425565416667,790.8
"11/10/2025 01:00:00",138.98088333333334,80.42534204166667,1990.1674805,93.50879229291667,2153.32,77.00608484583333,1316.3236084,53.497164204166666,791.18
"10/10/2025 01:00:00",113.62428333333334,80.93826945833334,1990.2139893,75.251911875,2152.72,88.2218081875,1316.2866211,20.58420185,789.58
"09/10/2025 01:00:00",85.4887,94.84207079166667,1990.3359375,51.069703974166664,2152.39,73.68388788333333,1315.9191895,14.853593820833334,788.22
"08/10/2025 01:00:00",85.2808,107.620751625,1989.7156982,48.0314222225,2152.44,128.61664400833334,1316.0367432,15.352291125,788.8
"07/10/2025 01:00:00",103.213575,135.741627,1990.4263916,56.10056298083333,2152.63,135.41496933333335,1316.6184082,17.668411875,790.93
"06/10/2025 01:00:00",109.23599166666666,131.24325325,1990.340332,65.27323925,2153.03,135.93405772916665,1316.6711426,18.285867908333334,791.41
"05/10/2025 01:00:00",103.41635,124.16348825,1990.4903564,71.24428176666666,2153.23,135.00122560416668,1316.5921631,21.549016516666665,791.49
"04/10/2025 01:00:00",137.62304166666667,148.02348966666668,1990.7641602,99.30457652916667,2153.45,127.37093395,1316.769165,30.7901495375,791.22
"03/10/2025 01:00:00",179.9243,144.43550808333333,1990.8843994,130.461430325,2153.55,126.2706313625,1317.0030518,26.1839916625,791.5
"02/10/2025 01:00:00",137.37681666666666,116.382726125,1990.413208,86.11618619625,2153.2,120.017920275,1316.6356201,21.252894441666665,790.64
"01/10/2025 01:00:00",121.53047916666667,117.20834558333334,1990.5175781,69.56685288291666,2153,116.33771775,1316.2076416,21.21337685416667,791.15
