Fecha,CaudalCuencaPaute,CaudalMol,CotaMol,CaudalMaz,CotaMaz
"31/10/2021 00:00:00",181.014325,180.6625,1990.6843262,124.93212391125,2153.06
"30/10/2021 00:00:00",169.8651125,196.37916666666666,1990.6229248,110.75749544666667,2153.13
"29/10/2021 00:00:00",225.73230416666667,193.9625,1990.7817383,150.34892005291667,2153.32
"28/10/2021 00:00:00",162.2860125,181.30416666666667,1990.9466553,110.94021434833333,2153.04
"27/10/2021 00:00:00",178.7326,204.27916666666667,1990.9493408,125.13632077666666,2153.22
"26/10/2021 00:00:00",255.5146125,249.1125,1990.7702637,175.42513118541666,2153.51
"25/10/2021 00:00:00",172.93132083333333,182.9,1988.8864746,131.43357954,2153.48
"24/10/2021 00:00:00",151.49930416666666,122.54166666666667,1987.3695068,120.34514599416667,2153.48
"23/10/2021 00:00:00",198.66790833333334,120.17916666666666,1987.2089844,159.50108897708333,2153.27
"22/10/2021 00:00:00",160.14657083333333,100.15416666666667,1987.4616699,111.12216917458333,2152.39
"21/10/2021 00:00:00",243.80728333333334,189.2125,1988.2696533,147.54463479208334,2151.91
"20/10/2021 00:00:00",213.61219583333335,171.00416666666666,1986.3946533,150.20568632041667,2151.22
"19/10/2021 00:00:00",160.32839166666668,95.425,1985.23,127.31082631875,2150.74
"18/10/2021 00:00:00",92.90542916666666,64.56666666666666,1984.8601074,74.02426451333334,2150.13
"17/10/2021 00:00:00",68.09472083333333,62.795833333333334,1985.0478516,47.3699595525,2149.8
"16/10/2021 00:00:00",69.38305416666667,74.3375,1985.932251,38.292842469166665,2149.78
"15/10/2021 00:00:00",84.87159166666666,93.59166666666667,1985.8620605,48.15953050125,2149.84
"14/10/2021 00:00:00",71.38717916666667,73.20416666666667,1985.5006104,47.88421655125,2149.92
"13/10/2021 00:00:00",84.5611,65.23333333333333,1985.9420166,53.470081890833335,2149.98
"12/10/2021 00:00:00",99.05899583333333,70.4375,1986.2858887,63.48601678958333,2149.79
"11/10/2021 00:00:00",128.094975,109.4625,1986.4859619,69.44889774708334,2149.46
"10/10/2021 00:00:00",149.74295416666666,100.48333333333333,1985.3979492,71.45115025458334,2149.25
"09/10/2021 00:00:00",59.43435,42.4375,1983.2536621,32.385401109583334,2148.7
"08/10/2021 00:00:00",67.56691666666667,73.7375,1984.3065186,38.20082588,2148.56
"07/10/2021 00:00:00",82.53214166666666,83.14583333333333,1983.9696045,48.26313754583333,2148.64
"06/10/2021 00:00:00",81.23137083333333,79.98333333333333,1983.8537598,49.09418953625,2148.6
"05/10/2021 00:00:00",69.3855875,82.84583333333333,1983.8476562,40.64888277083333,2148.64
"04/10/2021 00:00:00",69.93799166666666,87.88333333333334,1984.053833,41.99626557875,2148.76
"03/10/2021 00:00:00",64.79609583333334,54.579166666666666,1984.6610107,37.69349632,2148.89
"02/10/2021 00:00:00",63.3549875,69.54583333333333,1985.0584717,36.30652800208333,2148.84
"01/10/2021 00:00:00",73.25820416666667,88.26666666666667,1985.286499,41.65545051708333,2148.9
