Fecha,CaudalCuencaPaute,CaudalMol,CotaMol,CaudalMaz,CotaMaz,CaudalSop,CotaSop,CaudalMsf,CotaMsf
"31/01/2022 00:00:00",46.985704166666665,77.03333333333333,1982.7034912,29.293922120833333,2136.4,75.33773277916667,1315.9265137,74.347490975,792.65
"30/01/2022 00:00:00",55.37204583333333,81.55416666666666,1982.6982422,34.617166242083336,2136.78,61.529477566666664,1315.7563477,92.30255409166666,792.4
"29/01/2022 00:00:00",69.8843625,60.9625,1981.9024658,50.827371480833335,2137.13,57.67374187083333,1315.5140381,101.08781040833334,792.43
"28/01/2022 00:00:00",62.70794583333333,75.70833333333333,1981.8138428,39.188992406666664,2137.02,62.6907470375,1314.8270264,125.288539425,792.4
"27/01/2022 00:00:00",63.334720833333336,76.87916666666666,1981.1802979,41.51724207583333,2137.25,65.82465382916666,1314.8186035,69.10472568333333,792.28
"26/01/2022 00:00:00",67.2636875,60.49166666666667,1980.7415771,44.86702826416666,2137.42,81.00683922083333,1315.3450928,75.39581380416666,792.53
"25/01/2022 00:00:00",42.768654166666664,50.44583333333333,1981.6391602,27.41092900375,2137.33,88.910804725,1316.2216797,47.26634420833334,790.81
"24/01/2022 00:00:00",45.676408333333335,107.80833333333334,1983.239624,25.104389637083333,2137.4,95.974319075,1315.7841797,23.0603179,786.86
"23/01/2022 00:00:00",55.427616666666665,80.42083333333333,1982.9693604,33.75416171416666,2138.08,66.67639002083334,1315.802124,27.90185625,785.32
"22/01/2022 00:00:00",62.21037916666667,81.05416666666666,1982.4086914,38.25252875708333,2138.43,78.07809885416667,1315.7471924,19.701007020833334,787.24
"21/01/2022 00:00:00",58.6864625,72.6,1982.3226318,36.67871496041667,2138.66,97.901706625,1315.8109131,17.702630258333333,789.88
"20/01/2022 00:00:00",61.449241666666666,98.14166666666667,1983.2325439,36.4518772675,2138.93,107.65739818333333,1315.9265137,15.389542741666666,790.69
"19/01/2022 00:00:00",42.36537916666666,79.0875,1983.6010742,26.924250864166666,2139.38,95.4380834125,1315.8455811,14.920137195833334,790.51
"18/01/2022 00:00:00",43.05690833333333,95.36666666666666,1984.2397461,24.310111975416667,2139.81,103.23342122916667,1314.9975586,16.335661575,789.94
"17/01/2022 00:00:00",43.88529166666667,76.11666666666666,1984.5776367,32.08668111875,2140.48,113.40200758333333,1315.2924805,19.4163204625,790.73
"16/01/2022 00:00:00",68.75155,72.5375,1985.6506348,42.58906290833333,2140.91,52.3611077,1315.8543701,22.834035175,790.93
"15/01/2022 00:00:00",56.8742375,107.4875,1985.1865234,35.279198379166665,2140.98,67.8688263375,1315.203125,15.566244054166667,790.63
"14/01/2022 00:00:00",68.47855,141.64166666666668,1983.7695312,44.86787692208333,2141.56,74.610292175,1315.8543701,16.133167445833333,790.14
"13/01/2022 00:00:00",48.55410833333333,99.275,1981.1513672,21.31326431375,2142.38,81.88025195,1315.5770264,16.109871520833334,789.14
"12/01/2022 00:00:00",44.595825,92.67916666666666,1980.3476562,26.811010115416668,2143.13,98.92282035,1316.1774902,17.03619005,788.05
"11/01/2022 00:00:00",45.584579166666664,106.77916666666667,1980.9152832,26.965943943333333,2143.55,135.28640414583333,1315.9703369,17.552392829166667,787.08
"10/01/2022 00:00:00",43.63489583333333,147.8,1982.1480713,21.669565132083335,2144.28,148.418602,1315.8723145,17.1212597375,787.4
"09/01/2022 00:00:00",39.5814,135.35833333333332,1982.1656494,21.915521157083333,2145.45,151.35806709166667,1315.7296143,17.7467331625,787.57
"08/01/2022 00:00:00",43.007079166666664,120.22916666666667,1982.7902832,23.71149263708333,2146.51,154.81834003333333,1316.1473389,18.462937266666668,788.3
"07/01/2022 00:00:00",50.28973333333333,135.3125,1984.2047119,27.1222823,2147.36,117.84201206666667,1315.8985596,20.400520145833333,788.72
"06/01/2022 00:00:00",55.58912083333333,141.025,1983.4282227,33.04560841041667,2148.32,133.62414289166668,1315.979126,23.203404241666668,787.33
"05/01/2022 00:00:00",57.693016666666665,145.54166666666666,1983.2105713,33.3157943125,2149.23,146.44923298333333,1315.9265137,22.890564954166667,785.28
"04/01/2022 00:00:00",60.52738333333333,143.45416666666668,1983.2325439,36.43058646541667,2150.16,143.5288819625,1315.7471924,25.027244816666666,785.85
"03/01/2022 00:00:00",67.93109583333333,123.14166666666667,1983.2290039,44.95858448958333,2151.06,125.9469691875,1315.8109131,31.516079558333335,789.73
"02/01/2022 00:00:00",70.71310416666667,95.2,1983.3369141,45.735137555,2151.65,114.44498490833334,1315.6949463,25.5307288625,791.2
"01/01/2022 00:00:00",73.242475,79.20833333333333,1984.0257568,49.9208759575,2151.97,100.86608664583333,1316.1862793,27.011634029166668,790.42
