Fecha,CaudalCuencaPaute,CaudalMol,CotaMol,CaudalMaz,CotaMaz,CaudalSop,CotaSop,CaudalMsf,CotaMsf
"30/09/2024 00:00:00",68.534925,28.079358875,1985.4918213,43.081135924583336,2118.305,17.021539533333332,1315.8051758,13.9812873375,786.96
"29/09/2024 00:00:00",33.13345,13.577289708333334,1984.8583984,20.948318867083334,2117.584,29.302595785714285,1315.8753662,12.748202,786.63
"28/09/2024 00:00:00",29.3880125,13.7834745,1984.6855469,15.45376543375,2117.145,28.653322166666666,1315.3928223,6.413541595833333,786.53
"27/09/2024 00:00:00",35.87017083333333,43.198623166666664,1984.4890137,13.41019564125,2116.854,61.21554364736842,1315.3400879,6.611617595833334,786.7
"26/09/2024 00:00:00",29.663404166666666,18.862799958333333,1985.024,16.375945934166666,2116.923,56.334014725,1315.0731201,6.9441202083333335,786.73
"25/09/2024 00:00:00",52.839375,94.24847758333334,1985.933,13.231598742083333,2116.783,45.65865098235294,1315.2871094,7.8851495375,786.74
"24/09/2024 00:00:00",39.1390625,41.029277,1984.0599365,19.14203145875,2117.6,31.2550704,1314.1357422,10.224891891666667,787.34
"23/09/2024 00:00:00",47.7682375,18.493248916666666,1983.1193848,31.122755640416667,2117.63,0,1315.0185547,11.381721925,788.1
"22/09/2024 00:00:00",63.86470416666667,31.755831041666667,1982.3446045,45.32302307083334,2117.11,30.260611152941177,1315.0185547,12.1346056375,788.06
"21/09/2024 00:00:00",21.769158333333333,97.03306245833333,1981.9691162,11.988452346666667,2116.46,104.78043749583334,1315.6170654,11.714566970833333,787.67
"20/09/2024 00:00:00",35.132016666666665,106.3855595,1982.4315186,14.259354304166667,2117.955,144.50859525833334,1314.8483887,8.9020179,786.92
"19/09/2024 00:00:00",45.3146375,101.973056375,1983.8721924,19.878252214583334,2119.42,134.20076580555556,1315.0819092,12.563221775,786.67
"18/09/2024 00:00:00",39.7687625,104.77777458333334,1983.9379883,18.859077615,2120.32,126.40998253043479,1315.029541,11.593120775,786.36
"17/09/2024 00:00:00",40.24248333333333,72.85289970833334,1984.4890137,20.93837976,2121.6,119.57321353333333,1314.6885986,16.4756431375,785.75
"16/09/2024 00:00:00",39.936341666666664,116.50813408333333,1985.9349365,14.839449144166666,2122.27,107.46312839583334,1315.2416992,6.136891808333333,783.84
"15/09/2024 00:00:00",39.13164583333333,100.95456066666667,1985.7453613,14.532790663333333,2123.668457,115.3373152,1315.1085205,6.139755241666666,783.94
"14/09/2024 00:00:00",26.357645833333333,104.63045358333333,1986.2973633,12.657664565833333,2124.775,121.344175275,1315.4228516,6.196715970833333,784.06
"13/09/2024 00:00:00",31.9138,145.56253983333335,1986.8123779,7.322663278333334,2126.07,157.3639626375,1316.1179199,6.3648748416666665,784.17
"12/09/2024 00:00:00",27.7664125,141.91146570833334,1987.123,8.46422879,2127.872,162.09483436666667,1316.411377,6.6826232375,784.31
"11/09/2024 00:00:00",40.63806666666667,112.45146783333334,1987.722168,17.865551474583334,2129.64,149.896156025,1316.1004639,7.822709258333333,785.41
"10/09/2024 00:00:00",73.483375,72.67773625,1988.78479,40.744934460833335,2130.82,90.56884915416667,1315.0009766,7.274003241666667,786.21
"09/09/2024 00:00:00",71.79385833333333,135.637863625,1989.4155273,40.68646946,2130.9,95.54683405833333,1314.1881104,6.63718495,786.3
"08/09/2024 00:00:00",39.697520833333336,90.15389125,1988.1801758,16.41429712125,2131.71,90.03505054166666,1315.3046875,6.612165966666667,786.35
"07/09/2024 00:00:00",47.021370833333336,76.360528625,1988.1854248,20.529375755833332,2132.5,96.50361563636363,1315.4316406,6.588422695833334,786.64
"06/09/2024 00:00:00",38.22490416666667,109.85846704166667,1988.6092529,23.777894552083332,2133.03,101.93459119166667,1314.7697754,6.5970639625,787.18
"05/09/2024 00:00:00",19.607970833333333,121.7508005,1988.4328613,9.266759660833333,2134,116.8055495,1314.5378418,6.967247145833333,787.21
"04/09/2024 00:00:00",36.0137375,118.88445929166667,1988.3486328,11.601539637916666,2135.52,140.602609025,1315.6346436,7.4151993875,787.35
"03/09/2024 00:00:00",34.0238,123.903797375,1988.9672852,13.186339257916666,2136.69,115.75073615,1315.3928223,7.944654629166667,787.47
"02/09/2024 00:00:00",40.212183333333336,112.12789295833333,1988.7838135,15.682766581666666,2137.81,100.47766315833333,1313.9931641,7.054264666666667,787.59
"01/09/2024 00:00:00",33.006925,74.662828875,1988.3398438,15.369607330833333,2138.83,65.68768054583333,1315.3400879,7.035423929166667,787.93
