date,year,doy365,mmdd,series,metric,value,is_placeholder
2020-01-08,2020,8,08-ene,Minas San Francisco,Caudal (m³/s),39.81759151666667,0
2020-01-08,2020,8,08-ene,Minas San Francisco,Cota (msnm),789.41,0
2020-01-08,2020,8,08-ene,Molino,Caudal (m³/s),77.9375,0
2020-01-08,2020,8,08-ene,Molino,Cota (msnm),1986.9387207,0
2020-01-08,2020,8,08-ene,Sopladora,Caudal (m³/s),134.887318375,0
2020-01-08,2020,8,08-ene,Sopladora,Cota (msnm),1315.8723145,0
2020-01-09,2020,9,09-ene,Cuenca del Rio Paute,Caudal (m³/s),51.9739875,0
2020-01-09,2020,9,09-ene,Mazar,Caudal (m³/s),38.712774699583335,0
2020-01-09,2020,9,09-ene,Mazar,Cota (msnm),2152.68,0
2020-01-09,2020,9,09-ene,Minas San Francisco,Caudal (m³/s),34.60762745416667,0
2020-01-09,2020,9,09-ene,Minas San Francisco,Cota (msnm),787.66,0
2020-01-09,2020,9,09-ene,Molino,Caudal (m³/s),67.98333333333333,0
2020-01-09,2020,9,09-ene,Molino,Cota (msnm),1985.2374268,0
2020-01-09,2020,9,09-ene,Sopladora,Caudal (m³/s),131.79476945833332,0
2020-01-09,2020,9,09-ene,Sopladora,Cota (msnm),1315.5858154,0
2020-01-10,2020,10,10-ene,Cuenca del Rio Paute,Caudal (m³/s),59.18739583333333,0
2020-01-10,2020,10,10-ene,Mazar,Caudal (m³/s),38.80870965125,0
2020-01-10,2020,10,10-ene,Mazar,Cota (msnm),2152.46,0
2020-01-10,2020,10,10-ene,Minas San Francisco,Caudal (m³/s),30.418039808333333,0
2020-01-10,2020,10,10-ene,Minas San Francisco,Cota (msnm),787.58,0
2020-01-10,2020,10,10-ene,Molino,Caudal (m³/s),79.27916666666667,0
2020-01-10,2020,10,10-ene,Molino,Cota (msnm),1983.2255859,0
2020-01-10,2020,10,10-ene,Sopladora,Caudal (m³/s),135.60065491666666,0
2020-01-10,2020,10,10-ene,Sopladora,Cota (msnm),1314.5672607,0
2020-01-11,2020,11,11-ene,Cuenca del Rio Paute,Caudal (m³/s),57.80999166666667,0
2020-01-11,2020,11,11-ene,Mazar,Caudal (m³/s),42.75129017666666,0
2020-01-11,2020,11,11-ene,Mazar,Cota (msnm),2152.72,0
2020-01-11,2020,11,11-ene,Minas San Francisco,Caudal (m³/s),30.792995925,0
2020-01-11,2020,11,11-ene,Minas San Francisco,Cota (msnm),789.59,0
2020-01-11,2020,11,11-ene,Molino,Caudal (m³/s),38.95,0
2020-01-11,2020,11,11-ene,Molino,Cota (msnm),1979.4852295,0
2020-01-11,2020,11,11-ene,Sopladora,Caudal (m³/s),121.5266722,0
2020-01-11,2020,11,11-ene,Sopladora,Cota (msnm),1315.0239258,0
2020-01-12,2020,12,12-ene,Cuenca del Rio Paute,Caudal (m³/s),137.1383375,0
2020-01-12,2020,12,12-ene,Mazar,Caudal (m³/s),101.17991912416667,0
2020-01-12,2020,12,12-ene,Mazar,Cota (msnm),2151.54,0
2020-01-12,2020,12,12-ene,Minas San Francisco,Caudal (m³/s),38.19862153333333,0
2020-01-12,2020,12,12-ene,Minas San Francisco,Cota (msnm),791.71,0
2020-01-12,2020,12,12-ene,Molino,Caudal (m³/s),239.70416666666668,0
2020-01-12,2020,12,12-ene,Molino,Cota (msnm),1985.3093262,0
2020-01-12,2020,12,12-ene,Sopladora,Caudal (m³/s),92.16024721666666,0
2020-01-12,2020,12,12-ene,Sopladora,Cota (msnm),1315.8109131,0
2020-01-13,2020,13,13-ene,Cuenca del Rio Paute,Caudal (m³/s),95.29875416666668,0
2020-01-13,2020,13,13-ene,Mazar,Caudal (m³/s),66.7374996525,0
2020-01-13,2020,13,13-ene,Mazar,Cota (msnm),2151.61,0
2020-01-13,2020,13,13-ene,Minas San Francisco,Caudal (m³/s),42.591171225,0
2020-01-13,2020,13,13-ene,Minas San Francisco,Cota (msnm),790.17,0
2020-01-13,2020,13,13-ene,Molino,Caudal (m³/s),88.40833333333333,0
2020-01-13,2020,13,13-ene,Molino,Cota (msnm),1985.036499,0
2020-01-13,2020,13,13-ene,Sopladora,Caudal (m³/s),98.898143575,0
2020-01-13,2020,13,13-ene,Sopladora,Cota (msnm),1314.6241455,0
2020-01-14,2020,14,14-ene,Cuenca del Rio Paute,Caudal (m³/s),71.46930833333333,0
2020-01-14,2020,14,14-ene,Mazar,Caudal (m³/s),45.73256077125,0
2020-01-14,2020,14,14-ene,Mazar,Cota (msnm),2151.45,0
2020-01-14,2020,14,14-ene,Minas San Francisco,Caudal (m³/s),31.939949,0
2020-01-14,2020,14,14-ene,Minas San Francisco,Cota (msnm),788.48,0
2020-01-14,2020,14,14-ene,Molino,Caudal (m³/s),85.7125,0
2020-01-14,2020,14,14-ene,Molino,Cota (msnm),1983.9528809,0
2020-01-14,2020,14,14-ene,Sopladora,Caudal (m³/s),114.12509343333332,0
2020-01-14,2020,14,14-ene,Sopladora,Cota (msnm),1315.7739258,0
2020-01-15,2020,15,15-ene,Cuenca del Rio Paute,Caudal (m³/s),59.39827916666667,0
2020-01-15,2020,15,15-ene,Mazar,Caudal (m³/s),38.1592234575,0
2020-01-15,2020,15,15-ene,Mazar,Cota (msnm),2151.21,0
2020-01-15,2020,15,15-ene,Minas San Francisco,Caudal (m³/s),25.670412041666665,0
2020-01-15,2020,15,15-ene,Minas San Francisco,Cota (msnm),787.41,0
2020-01-15,2020,15,15-ene,Molino,Caudal (m³/s),81.35416666666667,0
2020-01-15,2020,15,15-ene,Molino,Cota (msnm),1981.6322021,0
2020-01-15,2020,15,15-ene,Sopladora,Caudal (m³/s),138.4250055,0
2020-01-15,2020,15,15-ene,Sopladora,Cota (msnm),1315.7037354,0
2020-01-16,2020,16,16-ene,Cuenca del Rio Paute,Caudal (m³/s),76.33983333333333,0
2020-01-16,2020,16,16-ene,Mazar,Caudal (m³/s),51.03134750791666,0
2020-01-16,2020,16,16-ene,Mazar,Cota (msnm),2149.43,0
2020-01-16,2020,16,16-ene,Minas San Francisco,Caudal (m³/s),23.705697054166667,0
2020-01-16,2020,16,16-ene,Minas San Francisco,Cota (msnm),787.65,0
2020-01-16,2020,16,16-ene,Molino,Caudal (m³/s),233.24166666666667,0
2020-01-16,2020,16,16-ene,Molino,Cota (msnm),1985.3067627,0
2020-01-16,2020,16,16-ene,Sopladora,Caudal (m³/s),139.87010174583332,0
2020-01-16,2020,16,16-ene,Sopladora,Cota (msnm),1315.4610596,0
2020-01-17,2020,17,17-ene,Cuenca del Rio Paute,Caudal (m³/s),132.1718416666667,0
2020-01-17,2020,17,17-ene,Mazar,Caudal (m³/s),86.05856450666667,0
2020-01-17,2020,17,17-ene,Mazar,Cota (msnm),2149.08,0
2020-01-17,2020,17,17-ene,Minas San Francisco,Caudal (m³/s),28.568310729166665,0
2020-01-17,2020,17,17-ene,Minas San Francisco,Cota (msnm),789.27,0
2020-01-17,2020,17,17-ene,Molino,Caudal (m³/s),168.81666666666666,0
2020-01-17,2020,17,17-ene,Molino,Cota (msnm),1986.5517578,0
2020-01-17,2020,17,17-ene,Sopladora,Caudal (m³/s),122.25825367083333,0
2020-01-17,2020,17,17-ene,Sopladora,Cota (msnm),1315.9351807,0
2020-01-18,2020,18,18-ene,Cuenca del Rio Paute,Caudal (m³/s),322.5402708333333,0
2020-01-18,2020,18,18-ene,Mazar,Caudal (m³/s),228.35407584166663,0
2020-01-18,2020,18,18-ene,Mazar,Cota (msnm),2150.29,0
2020-01-18,2020,18,18-ene,Minas San Francisco,Caudal (m³/s),82.59673039583333,0
2020-01-18,2020,18,18-ene,Minas San Francisco,Cota (msnm),792.7,0
2020-01-18,2020,18,18-ene,Molino,Caudal (m³/s),217.00833333333333,0
2020-01-18,2020,18,18-ene,Molino,Cota (msnm),1988.5635986,0
2020-01-18,2020,18,18-ene,Sopladora,Caudal (m³/s),146.6620810125,0
2020-01-18,2020,18,18-ene,Sopladora,Cota (msnm),1315.9970703,0
2020-01-19,2020,19,19-ene,Cuenca del Rio Paute,Caudal (m³/s),287.5532833333333,0
2020-01-19,2020,19,19-ene,Mazar,Caudal (m³/s),210.77591771666667,0
2020-01-19,2020,19,19-ene,Mazar,Cota (msnm),2151.72,0
2020-01-19,2020,19,19-ene,Minas San Francisco,Caudal (m³/s),136.02888387083334,0
2020-01-19,2020,19,19-ene,Minas San Francisco,Cota (msnm),792.74,0
2020-01-19,2020,19,19-ene,Molino,Caudal (m³/s),164.78333333333333,0
2020-01-19,2020,19,19-ene,Molino,Cota (msnm),1988.9953613,0
2020-01-19,2020,19,19-ene,Sopladora,Caudal (m³/s),146.3334552625,0
2020-01-19,2020,19,19-ene,Sopladora,Cota (msnm),1316.164917,0
2020-01-20,2020,20,20-ene,Cuenca del Rio Paute,Caudal (m³/s),280.39132083333334,0
2020-01-20,2020,20,20-ene,Mazar,Caudal (m³/s),193.34775650583333,0
2020-01-20,2020,20,20-ene,Mazar,Cota (msnm),2153.19,0
2020-01-20,2020,20,20-ene,Minas San Francisco,Caudal (m³/s),126.9859513125,0
2020-01-20,2020,20,20-ene,Minas San Francisco,Cota (msnm),792.61,0
2020-01-20,2020,20,20-ene,Molino,Caudal (m³/s),134.80833333333334,0
2020-01-20,2020,20,20-ene,Molino,Cota (msnm),1989.3603516,0
2020-01-20,2020,20,20-ene,Sopladora,Caudal (m³/s),124.40946331666666,0
2020-01-20,2020,20,20-ene,Sopladora,Cota (msnm),1316.2130127,0
2020-01-21,2020,21,21-ene,Cuenca del Rio Paute,Caudal (m³/s),163.89033333333333,0
2020-01-21,2020,21,21-ene,Mazar,Caudal (m³/s),122.01818325166668,0
2020-01-21,2020,21,21-ene,Mazar,Cota (msnm),2153.55,0
2020-01-21,2020,21,21-ene,Minas San Francisco,Caudal (m³/s),56.90861425833333,0
2020-01-21,2020,21,21-ene,Minas San Francisco,Cota (msnm),790.47,0
2020-01-21,2020,21,21-ene,Molino,Caudal (m³/s),112.55833333333334,0
2020-01-21,2020,21,21-ene,Molino,Cota (msnm),1988.6540527,0
2020-01-21,2020,21,21-ene,Sopladora,Caudal (m³/s),136.0954826625,0
2020-01-21,2020,21,21-ene,Sopladora,Cota (msnm),1314.7290039,0
2020-01-22,2020,22,22-ene,Cuenca del Rio Paute,Caudal (m³/s),118.692125,0
2020-01-22,2020,22,22-ene,Mazar,Caudal (m³/s),102.50876728083334,0
2020-01-22,2020,22,22-ene,Mazar,Cota (msnm),2153.61,0
2020-01-22,2020,22,22-ene,Minas San Francisco,Caudal (m³/s),48.285105558333335,0
2020-01-22,2020,22,22-ene,Minas San Francisco,Cota (msnm),788.52,0
2020-01-22,2020,22,22-ene,Molino,Caudal (m³/s),111.09166666666668,0
2020-01-22,2020,22,22-ene,Molino,Cota (msnm),1987.9073486,0
2020-01-22,2020,22,22-ene,Sopladora,Caudal (m³/s),134.99922745833334,0
2020-01-22,2020,22,22-ene,Sopladora,Cota (msnm),1315.067749,0
2020-01-23,2020,23,23-ene,Cuenca del Rio Paute,Caudal (m³/s),87.32464583333334,0
2020-01-23,2020,23,23-ene,Mazar,Caudal (m³/s),61.13932682833333,0
2020-01-23,2020,23,23-ene,Mazar,Cota (msnm),2153.04,0
2020-01-23,2020,23,23-ene,Minas San Francisco,Caudal (m³/s),32.9016516125,0
2020-01-23,2020,23,23-ene,Minas San Francisco,Cota (msnm),788.31,0
2020-01-23,2020,23,23-ene,Molino,Caudal (m³/s),143.05833333333334,0
2020-01-23,2020,23,23-ene,Molino,Cota (msnm),1988.4443359,0
2020-01-23,2020,23,23-ene,Sopladora,Caudal (m³/s),128.17076109166666,0
2020-01-23,2020,23,23-ene,Sopladora,Cota (msnm),1316.0771484,0
2020-01-24,2020,24,24-ene,Cuenca del Rio Paute,Caudal (m³/s),74.05195833333333,0
2020-01-24,2020,24,24-ene,Mazar,Caudal (m³/s),54.34091527166667,0
2020-01-24,2020,24,24-ene,Mazar,Cota (msnm),2153.21,0
2020-01-24,2020,24,24-ene,Minas San Francisco,Caudal (m³/s),27.77397385,0
2020-01-24,2020,24,24-ene,Minas San Francisco,Cota (msnm),789.17,0
2020-01-24,2020,24,24-ene,Molino,Caudal (m³/s),65.56666666666666,0
2020-01-24,2020,24,24-ene,Molino,Cota (msnm),1986.3771973,0
2020-01-24,2020,24,24-ene,Sopladora,Caudal (m³/s),127.00416955416668,0
2020-01-24,2020,24,24-ene,Sopladora,Cota (msnm),1315.7929688,0
2020-01-25,2020,25,25-ene,Cuenca del Rio Paute,Caudal (m³/s),88.81856666666667,0
2020-01-25,2020,25,25-ene,Mazar,Caudal (m³/s),77.75089741083333,0
2020-01-25,2020,25,25-ene,Mazar,Cota (msnm),2153.34,0
2020-01-25,2020,25,25-ene,Minas San Francisco,Caudal (m³/s),44.05541597083333,0
2020-01-25,2020,25,25-ene,Minas San Francisco,Cota (msnm),791.2,0
2020-01-25,2020,25,25-ene,Molino,Caudal (m³/s),76.71666666666667,0
2020-01-25,2020,25,25-ene,Molino,Cota (msnm),1985.1496582,0
2020-01-25,2020,25,25-ene,Sopladora,Caudal (m³/s),126.3640416125,0
2020-01-25,2020,25,25-ene,Sopladora,Cota (msnm),1315.203125,0
2020-01-26,2020,26,26-ene,Cuenca del Rio Paute,Caudal (m³/s),206.86750833333332,0
2020-01-26,2020,26,26-ene,Mazar,Caudal (m³/s),180.01446328958335,0
2020-01-26,2020,26,26-ene,Mazar,Cota (msnm),2153.66,0
2020-01-26,2020,26,26-ene,Minas San Francisco,Caudal (m³/s),234.48715069166667,0
2020-01-26,2020,26,26-ene,Minas San Francisco,Cota (msnm),792.77,0
2020-01-26,2020,26,26-ene,Molino,Caudal (m³/s),161.20833333333334,0
2020-01-26,2020,26,26-ene,Molino,Cota (msnm),1986.5771484,0
2020-01-26,2020,26,26-ene,Sopladora,Caudal (m³/s),108.50949617916666,0
2020-01-26,2020,26,26-ene,Sopladora,Cota (msnm),1315.9351807,0
2020-01-27,2020,27,27-ene,Cuenca del Rio Paute,Caudal (m³/s),103.69652083333334,0
2020-01-27,2020,27,27-ene,Mazar,Caudal (m³/s),86.66222307583334,0
2020-01-27,2020,27,27-ene,Mazar,Cota (msnm),2153.24,0
2020-01-27,2020,27,27-ene,Minas San Francisco,Caudal (m³/s),70.14723650416667,0
2020-01-27,2020,27,27-ene,Minas San Francisco,Cota (msnm),792.08,0
2020-01-27,2020,27,27-ene,Molino,Caudal (m³/s),157.03333333333333,0
2020-01-27,2020,27,27-ene,Molino,Cota (msnm),1987.4440918,0
2020-01-27,2020,27,27-ene,Sopladora,Caudal (m³/s),122.2999583875,0
2020-01-27,2020,27,27-ene,Sopladora,Cota (msnm),1316.0511475,0
2020-01-28,2020,28,28-ene,Cuenca del Rio Paute,Caudal (m³/s),74.9126375,0
2020-01-28,2020,28,28-ene,Mazar,Caudal (m³/s),58.42482151666667,0
2020-01-28,2020,28,28-ene,Mazar,Cota (msnm),2153.03,0
2020-01-28,2020,28,28-ene,Minas San Francisco,Caudal (m³/s),53.740951458333335,0
2020-01-28,2020,28,28-ene,Minas San Francisco,Cota (msnm),790.45,0
2020-01-28,2020,28,28-ene,Molino,Caudal (m³/s),90.07083333333334,0
2020-01-28,2020,28,28-ene,Molino,Cota (msnm),1986.6473389,0
2020-01-28,2020,28,28-ene,Sopladora,Caudal (m³/s),121.1723841,0
2020-01-28,2020,28,28-ene,Sopladora,Cota (msnm),1315.4786377,0
2020-01-29,2020,29,29-ene,Cuenca del Rio Paute,Caudal (m³/s),67.98525833333333,0
2020-01-29,2020,29,29-ene,Mazar,Caudal (m³/s),50.25571789333333,0
2020-01-29,2020,29,29-ene,Mazar,Cota (msnm),2152.79,0
2020-01-29,2020,29,29-ene,Minas San Francisco,Caudal (m³/s),61.26028101666667,0
2020-01-29,2020,29,29-ene,Minas San Francisco,Cota (msnm),788.89,0
2020-01-29,2020,29,29-ene,Molino,Caudal (m³/s),88.30833333333334,0
2020-01-29,2020,29,29-ene,Molino,Cota (msnm),1985.927002,0
2020-01-29,2020,29,29-ene,Sopladora,Caudal (m³/s),115.9720854375,0
2020-01-29,2020,29,29-ene,Sopladora,Cota (msnm),1315.8283691,0
2020-01-30,2020,30,30-ene,Cuenca del Rio Paute,Caudal (m³/s),69.29137916666667,0
2020-01-30,2020,30,30-ene,Mazar,Caudal (m³/s),50.887864174166666,0
2020-01-30,2020,30,30-ene,Mazar,Cota (msnm),2152.63,0
2020-01-30,2020,30,30-ene,Minas San Francisco,Caudal (m³/s),55.7911497625,0
2020-01-30,2020,30,30-ene,Minas San Francisco,Cota (msnm),788.42,0
2020-01-30,2020,30,30-ene,Molino,Caudal (m³/s),85.58333333333333,0
2020-01-30,2020,30,30-ene,Molino,Cota (msnm),1984.5732422,0
2020-01-30,2020,30,30-ene,Sopladora,Caudal (m³/s),126.32417963333332,0
2020-01-30,2020,30,30-ene,Sopladora,Cota (msnm),1314.7832031,0
2020-01-31,2020,31,31-ene,Cuenca del Rio Paute,Caudal (m³/s),67.74940416666666,0
2020-01-31,2020,31,31-ene,Mazar,Caudal (m³/s),43.92195798541667,0
2020-01-31,2020,31,31-ene,Mazar,Cota (msnm),2152.19,0
2020-01-31,2020,31,31-ene,Minas San Francisco,Caudal (m³/s),41.756822129166665,0
2020-01-31,2020,31,31-ene,Minas San Francisco,Cota (msnm),789.77,0
2020-01-31,2020,31,31-ene,Molino,Caudal (m³/s),107.34166666666668,0
2020-01-31,2020,31,31-ene,Molino,Cota (msnm),1984.0362549,0
2020-01-31,2020,31,31-ene,Sopladora,Caudal (m³/s),121.58220389166668,0
2020-01-31,2020,31,31-ene,Sopladora,Cota (msnm),1314.4256592,0
2020-02-01,2020,32,01-feb,Cuenca del Rio Paute,Caudal (m³/s),68.79147916666666,0
2020-02-01,2020,32,01-feb,Mazar,Caudal (m³/s),42.32238092541667,0
2020-02-01,2020,32,01-feb,Mazar,Cota (msnm),2151.67,0
2020-02-01,2020,32,01-feb,Minas San Francisco,Caudal (m³/s),36.88748495833333,0
2020-02-01,2020,32,01-feb,Minas San Francisco,Cota (msnm),788.51,0
2020-02-01,2020,32,01-feb,Molino,Caudal (m³/s),119.675,0
2020-02-01,2020,32,01-feb,Molino,Cota (msnm),1984.6890869,0
